['1989', 0]
['1993', 15]
['1994', 11]
['1995', 19]
['1999', 15]
['2001', 4]
['2002', 13]
['2003', 1]
['2005', 0]
['2006', 11]
['2008', 1]
['2009', 16]
['2010', 16]
['2012', 6]
['2013', 16]
['2014', 0]
['2015', 17]
['2018', 2]
['2019', 2]
['2020', 0]
['2021', 20]
['2022', 10]
['2023', 19]
['2024', 19]
['2025', 8]
['2026', 17]
['2027', 11]
['2028', 0]
['2029', 13]
['2030', 15]
['2032', 0]
['2033', 1]
['2034', 15]
['2035', 16]
['2036', 16]
['2039', 17]
['2040', 17]
['2041', 17]
['2043', -1]
['2044', 14]
['2045', 2]
['2046', 12]
['2048', 9]
['2050', 21]
['2051', 13]
['2052', 10]
['2053', 9]
['2054', 2]
['2055', 17]
['2056', 10]
['2057', 8]
['2058', 2]
['2059', 2]
['2060', 3]
['2061', 9]
['2062', 9]
['2063', 7]
['2064', 2]
['2065', 10]
['2066', 3]
['2067', 13]
['2068', 14]
['2069', 15]
['2070', 10]
['2071', 16]
['2072', 19]
['2073', 13]
['2074', 12]
['2075', 5]
['2076', 5]
['2077', 15]
['2082', 20]
['2083', 17]
['2084', 19]
['2085', 20]
['2086', 20]
['2087', 18]
['2088', 19]
['2090', 16]
['2091', 2]
['2095', 20]
['2096', 16]
['2098', 20]
['2099', 20]
['2100', 14]
['2101', 14]
['2102', 23]
['2103', 5]
['2104', 13]
['2105', 13]
['2108', 15]
['2109', 19]
['2110', 15]
['2112', 14]
['2113', 15]
['2114', 16]
['2115', 16]
['2116', 12]
['2118', 12]
['2119', 4]
['2123', 2]
['2124', 19]
['2125', 0]
['2126', 0]
['2127', 0]
['2128', 0]
['2130', 18]
['2131', 1]
['2132', 1]
['2133', 1]
['2134', 17]
['2135', 14]
['2136', 12]
['2137', 10]
['2139', 14]
['2140', 10]
['2141', 0]
['2142', 5]
['2143', 0]
['2144', 0]
['2145', 2]
['2146', 11]
['2147', 2]
['2148', 1]
['2155', 10]
['2156', 13]
['2157', 13]
['2158', 0]
['2162', 0]
['2163', 13]
['2164', 20]
['2165', 14]
['2167', 0]
['2168', 0]
['2169', 13]
['2170', 0]
['2172', 19]
['2173', 11]
['2174', 8]
['2175', 15]
['2176', 18]
['2178', 14]
['2179', 16]
['2180', 14]
['2181', 16]
['2182', 15]
['2183', 13]
['2184', 16]
['2185', 0]
['2186', 14]
['2187', 12]
['2188', 14]
['2189', 15]
['2190', 10]
['2192', 18]
['2193', 15]
['2194', 0]
['2195', 16]
['2196', 2]
['2197', 8]
['2198', 15]
['2199', 5]
['2200', 13]
['2201', 10]
['2203', 9]
['2204', 12]
['2205', 18]
['2206', 0]
['2207', 0]
['2208', 11]
['2209', 10]
['2210', 20]
['2211', 0]
['2212', 0]
['2213', 15]
['2214', 0]
['2215', 5]
['2216', 13]
['2217', 13]
['2219', 17]
['2220', 0]
['2222', 0]
['2223', 0]
['2224', 21]
['2225', 11]
['2227', 15]
['2228', 0]
['2229', 1]
['2231', 3]
['2232', 3]
['2237', 10]
['2238', 15]
['2239', 15]
['2240', 15]
['2241', 14]
['2242', 12]
['2243', 12]
['2244', 20]
['2245', 18]
['2246', 11]
['2248', 9]
['2250', 13]
['2251', 12]
['2252', 14]
['2253', 19]
['2254', 3]
['2255', 14]
['2256', 5]
['2258', 8]
['2261', 0]
['2262', 8]
['2266', 2]
['2268', 2]
['2269', 0]
['2270', 0]
['2271', 0]
['2272', 0]
['2273', 0]
['2274', 7]
['2275', 11]
['2276', 17]
['2277', 0]
['2278', 1]
['2279', 6]
['2280', 14]
['2281', 12]
['2283', 8]
['2284', 0]
['2285', 0]
['2286', 18]
['2287', 15]
['2288', 17]
['2289', 10]
['2292', 1]
['2293', 0]
['2294', 0]
['2295', 5]
['2296', 12]
['2297', 12]
['2298', 21]
['2299', 0]
['2302', 0]
['2303', 16]
['2304', 15]
['2305', 15]
['2306', 2]
['2310', 2]
['2316', 6]
['2317', 14]
['2318', 9]
['2319', 16]
['2320', 0]
['2323', 17]
['2324', 17]
['2325', 13]
['2326', 19]
['2328', 0]
['2330', 0]
['2331', 0]
['2333', 0]
['2336', 14]
['2337', 1]
['2338', 2]
['2339', 14]
['2340', 4]
['2341', 16]
['2342', 17]
['2343', 17]
['2344', 16]
['2345', 16]
['2347', 18]
['2350', 12]
['2351', 16]
['2352', 6]
['2353', 13]
['2354', 13]
['2361', 12]
['2362', 12]
['2363', 12]
['2364', 12]
['2365', 15]
['2366', 10]
['2367', 10]
['2368', 10]
['2369', 10]
['2370', 9]
['2371', 15]
['2372', 15]
['2373', 17]
['2374', 16]
['2375', 11]
['2376', 1]
['2377', 13]
['2378', 13]
['2379', 8]
['2380', 1]
['2381', 10]
['2382', 4]
['2383', 4]
['2385', 0]
['2386', 0]
['2387', 7]
['2388', 10]
['2389', 9]
['2390', 9]
['2391', -1]
['2392', 14]
['2393', 1]
['2395', 12]
['2396', 0]
['2397', 0]
['2398', 0]
['2401', 0]
['2403', 7]
['2404', 0]
['2405', 10]
['2406', 13]
['2409', 14]
['2410', 5]
['2411', 0]
['2412', 13]
['2413', 0]
['2414', 0]
['2415', 3]
['2416', 0]
['2417', 0]
['2418', 12]
['2419', 9]
['2420', 1]
['2423', 12]
['2424', 13]
['5000',0]
['5001',0]
['5002',0]
['5003',0]
