EmbeddedDomain,IPAdress,NumberOfDotsInURL,SuspiciousURL,NumberOfSensitiveWordsInURL,OutOfPositionTopLevelDomain,BadForms,BadActionFields,NonMatchingURLs,OutOfPositionBrandName,WebPageSize,AgeOfDomain,VirusTotalDomainReputation,XForceDomainReputation,PageRank,Label
0,0,2,1,0,0,0,0,-1,0,2214,0,15,1,0,1
0,0,2,1,0,0,0,0,-1,0,2214,0,13,1,0,1
0,0,2,1,1,0,0,0,-1,0,722,0,16,1,0,1
0,0,2,1,1,0,0,0,-1,0,722,0,14,1,0,1
0,0,2,1,0,0,0,0,1,0,217,0,14,1,0,1
0,0,2,1,0,0,0,0,1,0,217,0,13,1,0,1
0,0,1,0,0,0,0,0,1,0,9511,1,18,1,0,1
0,0,1,1,0,0,0,0,1,0,8604,0,0,-1,4,1
0,0,3,1,0,0,0,0,1,0,6397,0,4,-1,0,1
0,0,1,1,0,0,0,0,1,0,8733,0,0,-1,4,1
0,0,1,1,0,0,0,0,1,0,8733,0,0,-1,4,1
0,0,3,0,0,0,0,0,1,0,29476,0,3,0,4,1
0,0,3,1,0,0,0,0,1,0,691071,0,17,1,0,1
0,0,3,1,0,0,0,0,1,0,8115,0,17,1,0,1
0,0,3,0,0,1,-1,-1,1,0,24015,0,12,0,0,1
0,0,2,1,0,0,0,0,1,0,6984,0,2,-1,0,1
0,0,1,1,0,0,0,0,-1,-1,7427,1,19,1,0,1
0,0,2,0,0,0,0,0,1,0,92677,0,0,0,8,1
0,0,3,1,0,0,0,0,1,0,3742,0,15,1,0,1
0,0,3,1,0,0,0,0,1,0,6725,0,10,0,2,1
0,0,3,1,0,0,0,0,1,0,6737,0,16,1,0,1
0,0,3,1,0,0,0,0,1,0,6397,0,4,-1,0,1
0,0,2,1,0,0,0,0,1,0,48294,0,19,1,0,1
0,0,2,0,0,1,0,0,1,0,3742,0,9,0,2,1
0,0,3,0,0,0,0,0,1,0,17044,0,16,1,0,1
0,0,3,1,2,0,0,0,1,0,241286,1,19,1,0,1
0,0,2,1,2,0,0,0,1,0,241286,1,24,1,0,1
0,0,2,0,0,0,0,0,1,0,3742,0,16,1,0,1
0,0,3,0,0,0,0,0,-1,-1,1002851,0,5,0,2,1
0,0,3,1,0,0,0,0,-1,-1,796375,0,19,1,0,1
0,0,3,0,0,0,0,0,-1,-1,316339,0,14,1,0,1
0,0,1,0,0,0,0,0,-1,-1,29021,0,13,0,0,1
0,0,4,0,0,1,-1,-1,1,0,45507,0,7,-1,0,1
0,0,3,0,0,0,0,0,-1,-1,188,0,2,0,2,1
0,0,1,0,0,0,0,0,-1,-1,1852,1,20,1,0,1
0,0,1,0,0,0,0,0,1,0,3456,0,0,0,7,1
0,0,1,1,0,0,0,0,1,0,227924,0,16,1,2,1
0,0,2,0,0,1,0,0,-1,-1,213,0,9,-1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,16,-1,0,1
0,0,3,0,0,0,0,0,1,0,126,0,10,-1,1,1
0,0,6,0,1,0,0,0,1,0,67586,0,17,1,0,1
0,0,5,0,0,0,0,0,-1,-1,467,0,17,1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,16,-1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,16,-1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,15,-1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,16,1,0,1
0,0,6,0,1,0,0,0,1,0,67586,0,16,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,13,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,15,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,14,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,16,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,11,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,16,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,14,-1,0,1
0,0,5,0,1,0,0,0,1,0,67586,0,17,-1,0,1
